1	127	155	92	22.5	31	2025-11-09 01:17:03
2	127	124	92	22.3	31.6	2025-11-09 01:22:03
3	127	156	83	22.4	32	2025-11-09 01:27:03
4	127	133	109	22.3	32.4	2025-11-09 01:32:03
5	127	120	80	22.4	32	2025-11-09 01:37:03
6	127	134	88	22.4	32	2025-11-09 01:42:03
7	127	123	87	22.4	32	2025-11-09 01:47:03
8	127	136	102	22.4	32	2025-11-09 01:52:03
9	127	130	85	22.5	32	2025-11-09 01:57:04
10	127	132	89	22.5	31.8	2025-11-09 02:02:03
11	127	147	111	22.4	32	2025-11-09 02:07:03
12	127	131	78	22.5	32	2025-11-09 02:12:03
13	127	116	67	22.6	31.4	2025-11-09 02:21:14
14	127	120	62	22.6	31.4	2025-11-09 02:26:14
15	127	103	66	22.6	31	2025-11-09 02:32:25
16	127	115	78	22.6	31.4	2025-11-09 02:37:33
17	127	114	66	22.6	31.4	2025-11-09 02:42:25
18	127	109	69	22.6	31	2025-11-09 02:47:25
19	127	97	69	22.6	31.8	2025-11-09 02:52:25
20	127	110	83	22.4	32.2	2025-11-09 02:57:25
21	127	104	54	22.5	32.2	2025-11-09 03:02:25
22	127	106	77	22.6	32	2025-11-09 03:09:26
23	127	68	48	22.5	32	2025-11-09 03:12:27
24	127	119	54	22.6	32	2025-11-09 03:17:25
25	127	118	65	22.5	32	2025-11-09 03:22:25
26	127	123	59	22.6	32	2025-11-09 03:27:25
27	127	114	68	22.6	32	2025-11-09 03:32:25
28	127	101	61	22.7	32	2025-11-09 03:37:26
29	127	106	59	22.6	32	2025-11-09 03:42:25
30	127	100	78	22.5	32.2	2025-11-09 03:47:25
31	127	92	61	22.5	32	2025-11-09 03:52:33
32	127	92	70	22.5	32	2025-11-09 03:57:25
33	127	91	69	22.6	32	2025-11-09 04:02:25
34	127	118	76	22.7	32	2025-11-09 04:07:25
35	127	132	70	22.4	32	2025-11-09 04:12:25
36	127	120	93	22	32.4	2025-11-09 04:19:45
37	127	110	61	21.9	32.2	2025-11-09 04:24:45
38	127	106	60	21.9	32.2	2025-11-09 04:29:47
39	127	92	60	21.9	31.8	2025-11-09 04:34:44
40	127	78	92	22	32	2025-11-09 04:39:45
41	127	78	78	21.9	31.4	2025-11-09 04:44:44
42	127	102	66	21.9	31	2025-11-09 04:49:45
43	127	103	63	21.9	31	2025-11-09 04:54:44
44	127	113	51	21.7	31.6	2025-11-09 04:59:45
45	127	84	62	21.5	32	2025-11-09 05:04:44
46	127	86	55	21.4	33	2025-11-09 05:09:44
47	127	104	74	21.4	32.8	2025-11-09 05:14:46
48	127	145	58	21.4	33	2025-11-09 05:19:44
49	127	144	54	21.3	33	2025-11-09 05:24:45
50	127	147	68	21.3	33	2025-11-09 05:29:44
51	127	114	60	21.2	33.2	2025-11-09 05:34:58
52	127	106	65	21.1	34	2025-11-09 05:39:58
53	127	92	62	21.1	33.8	2025-11-09 05:44:58
54	127	97	97	21.1	34	2025-11-09 05:49:57
55	127	103	62	21.2	34	2025-11-09 05:54:58
56	127	115	65	21.3	33	2025-11-09 06:04:13
57	127	119	108	21.3	33	2025-11-09 06:09:13
58	127	116	79	21.4	33	2025-11-09 06:14:13
59	127	128	72	21.4	33	2025-11-09 06:19:13
60	127	128	68	21.5	33	2025-11-09 06:24:12
61	127	138	71	21.4	33.8	2025-11-09 06:31:52
62	127	131	77	21.4	33.2	2025-11-09 06:36:52
63	127	154	117	21.5	33.2	2025-11-09 06:41:52
64	127	166	89	21.5	33	2025-11-09 06:46:52
65	127	155	105	21.5	33	2025-11-09 06:51:52
66	127	175	108	21.6	33	2025-11-09 06:56:52
67	127	195	101	21.5	33	2025-11-09 07:01:52
68	127	221	110	21.6	33	2025-11-09 07:06:52
69	127	206	190	21.6	33	2025-11-09 07:11:53
70	127	203	162	21.6	33.6	2025-11-09 07:16:52
71	127	232	190	21.6	34	2025-11-09 07:21:53
72	127	213	181	21.6	34	2025-11-09 07:26:52
73	127	202	130	21.6	34	2025-11-09 07:31:53
74	127	242	158	21.6	34.6	2025-11-09 07:36:53
75	127	262	182	21.6	35	2025-11-09 07:41:52
76	127	249	163	21.6	35	2025-11-09 07:46:52
77	127	298	193	21.7	36	2025-11-09 07:52:03
78	127	315	168	21.7	36	2025-11-09 07:56:53
79	127	305	123	21.7	36	2025-11-09 08:01:53
80	127	329	150	21.3	37.6	2025-11-09 08:09:24
81	127	192	123	21	38.7	2025-11-09 08:11:58
82	127	348	206	21	39	2025-11-09 08:16:57
83	127	380	204	21	39	2025-11-09 08:21:56
84	127	421	157	21.1	39	2025-11-09 08:33:42
85	127	441	156	21.1	39	2025-11-09 08:38:42
86	127	420	184	21.1	39	2025-11-09 08:43:39
87	127	449	216	21.1	39	2025-11-09 08:48:39
88	127	455	259	21.2	39	2025-11-09 08:53:39
89	127	438	244	21.1	39	2025-11-09 08:58:39
90	127	442	185	21.1	39	2025-11-09 09:03:39
91	127	415	222	21.1	39	2025-11-09 09:08:47
92	127	377	202	22.1	37.6	2025-11-09 09:20:43
93	127	409	155	22	37.4	2025-11-09 09:28:00
94	127	420	199	23.1	35	2025-11-09 09:47:51
95	127	428	183	23.1	35	2025-11-09 09:58:17
96	127	272	324	23.5	33.8	2025-11-09 10:08:47
97	127	263	137	23.3	35	2025-11-09 10:18:47
98	127	289	218	24.7	31.2	2025-11-09 10:28:43
99	127	273	176	24.4	32.6	2025-11-09 10:33:46
100	127	278	194	24.9	29.6	2025-11-09 10:50:22
101	127	275	239	24.7	30	2025-11-09 10:55:28
102	127	264	247	24.6	30.4	2025-11-09 11:00:25
103	127	254	348	24.2	31.6	2025-11-09 11:05:23
104	127	260	303	23.4	34.6	2025-11-09 11:10:29
105	127	439	289	22.8	37.2	2025-11-09 11:25:05
